id,name,latitude,longitude,roadtype
37235B802722,Kristianborgvannet sykkel,60.352833,5.338993,E
83347V805435,Indre Arna,60.421439,5.46144,F
86173V805748,Torget,60.395323,5.325935,F
52794V805054,Bønes,60.328319,5.31105,F
82885V805617,Fløyfjellstunnelen sørgående,60.389045,5.339588,E
75832V805815,Bønesskogen sør,60.330818,5.298482,F
88975V805079,"Storeklubben, rampe Askøybrua-Kleppestø",60.402649,5.211518,F
44000V1944383,Svortland vest,59.796857,5.186417,F
23565B805152,Sandviken Sykkel_R1,60.405218,5.323218,F
20677V384022,Svidalsneset,61.511358,6.156277,E
79902V804834,"Nygård, Fløyfjell - Nygårdstunnelen",60.382968,5.336682,E
33333B804035,Åsaneveien sykkel,60.414554,5.320875,E
10168V3144571,RÅDALSKRYSSET SØR RAMPE FANAVEGEN-HALHJEM,60.288209,5.326383,E
08880B2403017,Skjoldskiftet sykkel,60.310838,5.351116,E
36906V3144559,SVEGATJØRN RAMPE MOT ULVENVEGEN,60.20169,5.443267,E
83175B804163,Håvardstun sykkel,60.290943,5.296715,R
37399V805354,Kleppestø fartstavle,60.416888,5.217553,F
10990V804785,Klauvaneset Nordhordlandsbrua,60.518844,5.277124,E
62929V384083,Vindfylletunnelen,61.92729,5.538912,R
74461V805599,Eidesmoen,60.638008,6.203821,E
85205V2486785,Folkedalstunnelen,60.491017,6.654173,F
51214V805707,Lianakktunnelen mot Bergen,60.376894,5.257289,R
81741V3144556,Svegatjørn øst  Halhjem - Ulven,60.203318,5.443124,E
54357V805355,Steinrusten,60.447379,5.207246,F
43916V384471,Borgundstunnelen,61.050963,7.772713,E
04468V805022,"Gravdal, rampe mot Sotra",60.382133,5.270487,R
00413V804938,Mundheim,60.164276,5.910048,F
29614V805708,Sotrabrua vest,60.372083,5.155691,R
58420V805630,Seljestad,59.905144,6.618945,E
32977V384525,Kvernhaugtunnelen,61.207095,6.058275,F
68392V2574613,Åsamyrene sør,60.470648,5.326825,F
77457V384021,Førde vest,61.450425,5.84824,E
70741V384496,Naustdalstunnelen,61.535854,5.70952,R
86349V805605,Indre Arna Ev16,60.421208,5.460839,E
96123B805439,Arna sykkel (kjørebane),60.426481,5.469724,F
71282V3228063,Goteviktunnelen,61.110609,6.602088,R
20697V805009,Nøstet - Puddefjordbroen,60.386336,5.319369,R
37884V384499,Evja,61.59907,5.048542,R
20790V1885953,Straumeveien,60.32461,5.274389,F
76940V1685349,Palmafossen nord,60.636038,6.465595,F
67055V804829,"Nygård, Danmarksplass - Nygårdstunnelen",60.38307,5.336696,E
01316V804837,Munkebotntunnelen,60.414129,5.321848,E
12252V384272,Aurdalsfjellet,60.919654,7.24839,F
71387V804910,Vallaviktunnelen,60.493092,6.815907,R
35485V384501,Gaularfjellet,61.345682,6.321354,F
94767V804742,Christies gate,60.391221,5.325424,E
47932V805038,Storavatn rampe fra Godvik/Askøy,60.370581,5.214031,R
90914V1885978,Knappetunnelen Dolvik - Straume,60.3249,5.271872,F
08615V2398666,Vangstunnelen,60.637207,6.418092,E
65601V2518819,Rampe 31000 til Knappetunnelen,60.367857,5.250608,F
90722V3144541,RÅDALSKRYSSET MOT LAGUNEN,60.290401,5.325624,F
49965V384062,Storehaugtunnelen,60.998265,6.543166,R
