id,name,latitude,longitude,roadtype,2015,2016,2017,2018,2019,2020,2021,2022
44953V1885943,Bjørgeveien Straume,60.325105,5.273449,F,11542,11369,11853,14603,11458,11046,11365,10964
25132V805616,Danmarksplass-Åsane,60.383487,5.335978,E,0,0,0,0,0,0,0,0
65743V805722,Juvik nord,60.426053,5.195758,F,0,0,0,0,0,0,0,0
29614V805708,Sotrabrua vest,60.372083,5.155691,R,26899,27151,27663,27796,27941,26198,26922,27457
87699V804741,Blindheim,60.469487,5.370048,E,16809,17460,17796,17917,17222,16378,17058,17178
52794V805054,Bønes,60.328319,5.31105,F,13708,16532,16761,16661,15726,15623,0,13539
37399V805354,Kleppestø fartstavle,60.416888,5.217553,F,4184,4261,4364,4407,4624,4108,4447,4614
81009V805718,Bjørndalstræ,60.359852,5.242661,F,9925,7151,7171,7091,6700,5897,4969,5938
99784V384091,Holsbru,61.298755,7.907756,F,293,296,262,296,272,155,0,0
41273V805613,Moberg v/Lekven,60.170324,5.444239,E,7765,7992,8153,8172,8202,7875,8290,8636
32977V384525,Kvernhaugtunnelen,61.207095,6.058275,F,1393,1421,1444,1400,1409,1382,1425,1403
99637V805766,Fitjar Hellandsveien,59.917927,5.316192,F,2286,2314,2294,2282,2026,2120,2139,2090
83347V805435,Indre Arna,60.421439,5.46144,F,9122,8959,9007,9074,9251,8899,8964,9792
94767V804742,Christies gate,60.391221,5.325424,E,0,0,0,0,0,0,0,0
90914V1885978,Knappetunnelen Dolvik - Straume,60.3249,5.271872,F,0,0,0,0,0,0,0,0
21821V3144525,SVEGATJØRN BERGEN-HALHJEM,60.201167,5.44369,E,0,0,0,0,0,0,0,0
41117V3144515,ENDELAUSMARKA HALHJEM-BERGEN,60.217303,5.424705,E,0,0,0,0,0,0,0,0
87495V2442199,Rampe fra Studalen,59.774404,5.48353,E,0,0,0,0,0,0,0,0
97841V805708,Kolltveittunnelen,60.349583,5.093161,R,19290,19531,19296,19611,19409,18552,19316,19402
71387V804910,Vallaviktunnelen,60.493092,6.815907,R,2043,2139,2250,2372,2498,2286,2634,2670
09390V384481,Bruland,61.443212,5.897774,E,0,0,0,0,0,0,0,0
74808V805815,Bønesskogen nord,60.331065,5.299242,F,7301,7354,6854,6481,6069,5679,5692,5573
46725V3026132,Loftesnes,61.229504,7.124486,R,0,0,0,0,0,0,0,0
68392V2574613,Åsamyrene sør,60.470648,5.326825,F,0,0,0,0,0,0,0,0
49530V804761,Trengereid-Osterøy,60.422224,5.5403,E,0,0,0,0,0,0,0,0
33729V805012,Puddefjordbroen-Løvstakktunnelen,60.382421,5.314495,F,0,0,0,0,0,0,0,0
56658V804775,Vallaheiene,60.297597,5.381083,E,14151,14424,14703,14779,14532,13714,14473,13732
02940V805615,Nesttuntunnelen,60.315184,5.355439,E,20061,19751,19962,19952,19020,18275,19560,19684
09194V804833,Nygårdstunnelen - Bergen sentrum,60.38296,5.337229,E,5986,0,5343,5350,5233,4408,4612,4974
18102V1886013,Sandeidet bussterminal kollektivfelt,60.333448,5.26529,F,0,0,0,0,0,0,0,0
69452V384101,Årøytunnelen,61.268207,7.159407,F,2198,2717,2773,2773,2801,2579,2665,2793
29481V384100,Indre Hafslo,61.345065,7.262465,F,0,0,0,0,0,0,0,0
61651V1867072,Gullringtunnelen,61.471261,7.541481,F,607,650,654,645,651,584,654,648
98894V804997,Folgefonntunnelen,60.091721,6.524541,F,1103,1204,1262,1295,1404,1343,1514,1591
54644V2518837,Knappetunnelen-Loddefjord,60.366006,5.251451,F,0,0,0,0,0,0,0,0
49658V804949,Løvstakktunnelen,60.371819,5.304316,F,15111,11966,11549,11006,11323,11379,12332,11539
17477V384046,Grov,61.613638,5.331295,R,0,0,0,0,0,0,0,0
57587V805035,Storavatn rampe fra Bergen,60.370658,5.214055,R,0,0,0,0,0,0,0,0
77457V384021,Førde vest,61.450425,5.84824,E,13020,13006,12710,12575,12484,12091,12603,12415
83745V3144564,ENDELAUSMARKA RAMPE HALHJEM-DRANGE,60.215967,5.425065,E,0,0,0,0,0,0,0,0
08446V805082,"Storeklubben, rampe Kleppestø-Strusshamn",60.402518,5.210758,F,1863,1862,1807,1849,1859,1714,1755,2003
85085V805128,Sørås - Lagunen,60.299609,5.328364,R,0,0,0,0,0,0,0,0
56100V804816,Rampe Sørås mot Hop,60.325803,5.337152,E,0,0,0,0,0,0,0,0
90465V384130,Videseter,61.938029,7.26313,F,116,102,102,103,100,95,102,110
14706V805707,Puddefjordsbroen - Damsgårdstunnelen,60.382333,5.314755,R,0,0,0,0,0,0,0,0
90132V805016,Gyldenpris-Puddefjordbroen,60.382357,5.315039,F,0,0,0,0,0,0,0,0
34684V384477,Årbergsdalen,61.292058,5.826874,E,2259,2264,2329,2380,2414,2298,2435,2481
45653V2518816,Knappetunnelen nord - Sandeidet,60.33664,5.263606,F,0,0,0,0,0,0,0,0
96103V384037,Kaupanger,61.201761,7.20962,R,4586,4762,4876,4930,5031,4665,4805,5094
